fecha,temperatura_C,TC,posicion,profundidad_m
2025-12-30 01:27:01,16.191,TC1,surface,0.0
2025-12-30 01:57:01,16.003,TC1,surface,0.0
2025-12-30 02:27:01,15.815,TC1,surface,0.0
2025-12-30 02:57:01,15.69,TC1,surface,0.0
2025-12-30 03:27:01,15.565,TC1,surface,0.0
2025-12-30 03:57:01,15.377,TC1,surface,0.0
2025-12-30 04:27:01,15.314,TC1,surface,0.0
2025-12-30 04:57:01,15.377,TC1,surface,0.0
2025-12-30 05:27:01,15.314,TC1,surface,0.0
2025-12-30 05:57:01,15.126,TC1,surface,0.0
2025-12-30 06:27:01,15.064,TC1,surface,0.0
2025-12-30 06:57:01,15.001,TC1,surface,0.0
2025-12-30 07:27:01,14.938,TC1,surface,0.0
2025-12-30 07:57:01,14.876,TC1,surface,0.0
2025-12-30 08:27:01,14.813,TC1,surface,0.0
2025-12-30 08:57:01,14.938,TC1,surface,0.0
2025-12-30 09:27:01,15.189,TC1,surface,0.0
2025-12-30 09:57:01,15.627,TC1,surface,0.0
2025-12-30 10:27:01,16.191,TC1,surface,0.0
2025-12-30 10:57:01,16.755,TC1,surface,0.0
2025-12-30 11:27:01,17.443,TC1,surface,0.0
2025-12-30 11:57:01,18.257,TC1,surface,0.0
2025-12-30 12:27:01,19.071,TC1,surface,0.0
2025-12-30 12:57:01,19.885,TC1,surface,0.0
2025-12-30 13:27:01,20.635,TC1,surface,0.0
2025-12-30 13:57:01,21.449,TC1,surface,0.0
2025-12-30 14:27:01,22.137,TC1,surface,0.0
2025-12-30 14:57:01,22.512,TC1,surface,0.0
2025-12-30 15:27:01,22.825,TC1,surface,0.0
2025-12-30 15:57:01,23.013,TC1,surface,0.0
2025-12-30 16:27:01,23.013,TC1,surface,0.0
2025-12-30 16:57:01,22.825,TC1,surface,0.0
2025-12-30 17:27:01,22.512,TC1,surface,0.0
2025-12-30 17:57:01,22.012,TC1,surface,0.0
2025-12-30 18:27:01,21.449,TC1,surface,0.0
2025-12-30 18:57:01,20.761,TC1,surface,0.0
2025-12-30 19:27:01,20.072,TC1,surface,0.0
2025-12-30 19:57:01,19.509,TC1,surface,0.0
2025-12-30 20:27:01,19.071,TC1,surface,0.0
2025-12-30 20:57:01,18.758,TC1,surface,0.0
2025-12-30 21:27:01,18.445,TC1,surface,0.0
2025-12-30 21:57:01,18.195,TC1,surface,0.0
2025-12-30 22:27:01,17.882,TC1,surface,0.0
2025-12-30 22:57:01,17.569,TC1,surface,0.0
2025-12-30 23:27:01,17.193,TC1,surface,0.0
2025-12-30 23:57:01,16.942,TC1,surface,0.0
2025-12-31 00:27:01,16.692,TC1,surface,0.0
2025-12-31 00:57:01,16.504,TC1,surface,0.0
2025-12-31 01:27:01,16.379,TC1,surface,0.0
2025-12-31 01:57:01,16.191,TC1,surface,0.0
2025-12-31 02:27:01,16.066,TC1,surface,0.0
2025-12-31 02:57:01,15.94,TC1,surface,0.0
2025-12-31 03:27:01,15.753,TC1,surface,0.0
2025-12-31 03:57:01,15.565,TC1,surface,0.0
2025-12-31 04:27:01,15.377,TC1,surface,0.0
2025-12-31 04:57:01,15.252,TC1,surface,0.0
2025-12-31 05:27:01,15.189,TC1,surface,0.0
2025-12-31 05:57:01,15.064,TC1,surface,0.0
2025-12-31 06:27:01,15.001,TC1,surface,0.0
2025-12-31 06:57:01,15.001,TC1,surface,0.0
2025-12-31 07:27:01,14.75,TC1,surface,0.0
2025-12-31 07:57:01,14.625,TC1,surface,0.0
2025-12-31 08:27:01,14.625,TC1,surface,0.0
2025-12-31 08:57:01,14.813,TC1,surface,0.0
2025-12-31 09:27:01,15.064,TC1,surface,0.0
2025-12-31 09:57:01,15.502,TC1,surface,0.0
2025-12-31 10:27:01,16.066,TC1,surface,0.0
2025-12-31 10:57:01,16.692,TC1,surface,0.0
2025-12-31 11:27:01,17.381,TC1,surface,0.0
2025-12-31 11:57:01,18.195,TC1,surface,0.0
2025-12-31 12:27:01,19.071,TC1,surface,0.0
2025-12-31 12:57:01,19.885,TC1,surface,0.0
